Name,Mission Components,Mission Status,Location,Launch Time,Company,Status,Price,Liftoff Thrust kN,Payload to LEO kg,Payload to GTO kg,Stages,Strap-ons,Rocket Height m,Fairing Diameter m,Fairing Height m,Orbit,Payloads,Total Mass kg,year,Country,month,Region
Falcon 9 Block 5,Starlink Group 12-11,Success,"LC-39A, Kennedy Space Center, Florida, USA",2025-01-08 15:27:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Low Earth Orbit,21.0,,2025,USA,January,Florida
Falcon 9 Block 5,Starlink Group 6-71,Success,"SLC-40, Cape Canaveral SFS, Florida, USA",2025-01-06 20:43:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Low Earth Orbit,24.0,,2025,USA,January,Florida
Long March 3B/E,Shijian 25,Success,"LC-3, Xichang Satellite Launch Center, China",2025-01-06 20:00:00+00:00,CASC,Active,29.15,5986.0,11500.0,5550.0,3.0,4.0,56.3,4.2,9.56,Geostationary Transfer Orbit,1.0,,2025,China,January,Xichang Satellite Launch Center
Falcon 9 Block 5,Thuraya 4-NGS,Success,"SLC-40, Cape Canaveral SFS, Florida, USA",2025-01-04 01:27:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Geostationary Transfer Orbit,1.0,5000.0,2025,USA,January,Florida
Falcon 9 Block 5,Starlink Group 12-6,Success,"LC-39A, Kennedy Space Center, Florida, USA",2024-12-31 05:39:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Low Earth Orbit,21.0,,2024,USA,December,Florida
PSLV-CA,SPADEX,Success,"First Launch Pad, Satish Dhawan Space Centre, India",2024-12-30 16:30:00+00:00,ISRO,Active,21.0,4847.0,,,4.0,0.0,44.0,3.2,8.3,Low Earth Orbit,26.0,440.0,2024,India,December,Satish Dhawan Space Centre
Falcon 9 Block 5,Astranis: From One to Many,Success,"SLC-40, Cape Canaveral SFS, Florida, USA",2024-12-29 05:00:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Geostationary Transfer Orbit,4.0,1600.0,2024,USA,December,Florida
Falcon 9 Block 5,Starlink Group 11-3,Success,"SLC-4E, Vandenberg SFB, California, USA",2024-12-29 01:58:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Low Earth Orbit,22.0,,2024,USA,December,California
Kinetica 1,DEAR-3 & 10 other satellites,Failure,"Site 130, Jiuquan Satellite Launch Center, China",2024-12-27 01:03:00+00:00,CAS Space,Active,,,2000.0,1500.0,4.0,0.0,31.0,3.35,,Sun-Synchronous Orbit,11.0,,2024,China,December,Jiuquan Satellite Launch Center
Soyuz 2.1b,Resurs-P No.5,Success,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2024-12-25 07:45:00+00:00,Roscosmos,Active,20.0,4550.0,8020.0,0.0,3.0,4.0,44.08,4.11,8.36,Sun-Synchronous Orbit,1.0,6570.0,2024,Kazakhstan,December,Baikonur Cosmodrome
Falcon 9 Block 5,Starlink Group 12-2,Success,"LC-39A, Kennedy Space Center, Florida, USA",2024-12-23 05:35:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Low Earth Orbit,21.0,,2024,USA,December,Florida
Electron/Curie,Owl The Way Up,Success,"Rocket Lab LC-1B, Māhia Peninsula, New Zealand",2024-12-21 14:17:00+00:00,Rocket Lab,Active,7.5,224.0,320.0,,3.0,0.0,18.0,1.2,4.05,Sun-Synchronous Orbit,1.0,,2024,New Zealand,December,Māhia Peninsula
Falcon 9 Block 5,Bandwagon-2,Success,"SLC-4E, Vandenberg SFB, California, USA",2024-12-21 11:34:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Low Earth Orbit,30.0,800.0,2024,USA,December,California
Long March 3B/E,TJSW-12,Success,"LC-2, Xichang Satellite Launch Center, China",2024-12-20 15:12:00+00:00,CASC,Active,29.15,5986.0,11500.0,5550.0,3.0,4.0,56.3,4.2,9.56,Geostationary Transfer Orbit,1.0,,2024,China,December,Xichang Satellite Launch Center
Ceres 1S,Loong,Success,"Site 95A, Jiuquan Satellite Launch Center, China",2024-12-19 10:18:00+00:00,Galactic Energy,Active,4.38,588.0,400.0,0.0,4.0,0.0,19.0,1.4,2.5,Low Earth Orbit,4.0,,2024,China,December,Jiuquan Satellite Launch Center
KAIROS,Flight 2,Failure,"Space One Launch Pad, Space Port Kii, Japan",2024-12-18 02:00:00+00:00,Space One,Active,9.0,,250.0,,4.0,0.0,18.0,1.5,4.0,Sun-Synchronous Orbit,5.0,,2024,Japan,December,Space Port Kii
Falcon 9 Block 5,O3b mPOWER 7 & 8,Success,"LC-39A, Kennedy Space Center, Florida, USA",2024-12-17 22:26:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Medium Earth Orbit,2.0,3400.0,2024,USA,December,Florida
Falcon 9 Block 5,NROL-149,Success,"SLC-4E, Vandenberg SFB, California, USA",2024-12-17 13:19:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Low Earth Orbit,22.0,,2024,USA,December,California
Falcon 9 Block 5,GPS III-7 (USA 440) (RRT-1),Success,"SLC-40, Cape Canaveral SFS, Florida, USA",2024-12-17 00:52:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Medium Earth Orbit,1.0,,2024,USA,December,Florida
Long March 2D,PIESAT-2 09-12,Success,"LC-9, Taiyuan Satellite Launch Center, China",2024-12-16 18:50:00+00:00,CASC,Active,29.75,2962.0,3500.0,1200.0,2.0,0.0,40.77,3.35,7.82,Sun-Synchronous Orbit,4.0,,2024,China,December,Taiyuan Satellite Launch Center
Long March 5B/YZ-2,SatNet LEO Group 01,Success,"LC-101, Wenchang Space Launch Site, China",2024-12-16 10:00:00+00:00,CASC,Active,,10565.0,15000.0,,3.0,4.0,53.66,5.2,20.5,Polar Orbit,10.0,,2024,China,December,Wenchang Space Launch Site
Electron,Stonehenge,Success,"Rocket Lab LC-2 (LP-0C), Wallops Flight Facility, Virginia, USA",2024-12-14 01:00:00+00:00,Rocket Lab,Active,7.5,224.0,320.0,,2.0,0.0,18.0,1.2,4.05,,,,2024,USA,December,Virginia
Falcon 9 Block 5,Starlink Group 11-2,Success,"SLC-4E, Vandenberg SFB, California, USA",2024-12-13 21:55:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Low Earth Orbit,22.0,,2024,USA,December,California
Long March 2D/YZ-3,High Speed Laser Diamond Constellation Test System,Success,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2024-12-12 07:17:00+00:00,CASC,Active,30.0,2962.0,3500.0,1200.0,3.0,0.0,40.77,3.35,7.82,Low Earth Orbit,5.0,,2024,China,December,Jiuquan Satellite Launch Center
Falcon 9 Block 5,Starlink Group 12-5,Success,"SLC-40, Cape Canaveral SFS, Florida, USA",2024-12-08 05:12:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Low Earth Orbit,23.0,,2024,USA,December,Florida
Simorgh,Fakhr-1 & Saman-1,Success,"Imam Khomeini Spaceport, Semnan Space Center, Iran",2024-12-06 03:14:00+00:00,ISA,Active,,1333.0,350.0,0.0,3.0,0.0,26.5,1.5,3.2,Low Earth Orbit,2.0,300.0,2024,Iran,December,Semnan Space Center
Vega C,Sentinel-1C,Success,"ELV, Guiana Space Centre, French Guiana, France",2024-12-05 21:20:00+00:00,Arianespace,Active,,4500.0,2300.0,,4.0,0.0,35.0,3.3,9.0,Sun-Synchronous Orbit,1.0,2300.0,2024,France,December,French Guiana
Falcon 9 Block 5,SXM-9,Success,"LC-39A, Kennedy Space Center, Florida, USA",2024-12-05 16:10:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Geostationary Transfer Orbit,1.0,,2024,USA,December,Florida
PSLV-XL,PROBA 3,Success,"First Launch Pad, Satish Dhawan Space Centre, India",2024-12-05 10:34:00+00:00,ISRO,Active,31.0,7661.0,3250.0,1410.0,4.0,6.0,44.0,3.2,8.3,Elliptical,2.0,550.0,2024,India,December,Satish Dhawan Space Centre
Long March 6A,G60 Polar Group 03,Success,"LC-9A, Taiyuan Satellite Launch Center, China",2024-12-05 04:41:00+00:00,CASC,Active,,7230.0,5000.0,,2.0,4.0,50.0,4.2,5.7,Polar Orbit,18.0,,2024,China,December,Taiyuan Satellite Launch Center
Falcon 9 Block 5,Starlink Group 9-14,Success,"SLC-4E, Vandenberg SFB, California, USA",2024-12-05 03:05:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Low Earth Orbit,20.0,,2024,USA,December,California
Soyuz 2.1b,Cosmos 2580,Success,"Site 43/4, Plesetsk Cosmodrome, Russia",2024-12-04 18:03:00+00:00,VKS RF,Active,20.0,4550.0,8020.0,0.0,3.0,4.0,44.08,4.11,8.36,Low Earth Orbit,1.0,6000.0,2024,Russia,December,Plesetsk Cosmodrome
Falcon 9 Block 5,Starlink Group 6-70,Success,"SLC-40, Cape Canaveral SFS, Florida, USA",2024-12-04 10:13:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Low Earth Orbit,24.0,,2024,USA,December,Florida
Kuaizhou 1A,Haishao-1,Success,"Mobile Launcher Pad, Xichang Satellite Launch Center, China",2024-12-04 04:46:00+00:00,ExPace,Active,5.8,537.0,300.0,0.0,4.0,0.0,19.8,1.4,3.4,Low Earth Orbit,1.0,,2024,China,December,Xichang Satellite Launch Center
Long March 3B/E,TJSW-13,Success,"LC-3, Xichang Satellite Launch Center, China",2024-12-03 05:56:00+00:00,CASC,Active,29.15,5986.0,11500.0,5550.0,3.0,4.0,56.3,4.2,9.56,Geostationary Transfer Orbit,1.0,,2024,China,December,Xichang Satellite Launch Center
Long March 12,Demo Flight,Success,"Commercial LC-2, Wenchang Space Launch Site, China",2024-11-30 14:25:00+00:00,CASC,Active,,5000.0,12000.0,,2.0,0.0,59.0,3.8,5.2,Low Earth Orbit,2.0,,2024,China,November,Wenchang Space Launch Site
Falcon 9 Block 5,NROL-126,Success,"SLC-4E, Vandenberg SFB, California, USA",2024-11-30 08:10:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Low Earth Orbit,22.0,,2024,USA,November,California
Falcon 9 Block 5,Starlink Group 6-65,Success,"SLC-40, Cape Canaveral SFS, Florida, USA",2024-11-30 05:00:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Low Earth Orbit,24.0,,2024,USA,November,Florida
Soyuz 2.1a/Fregat-M,Kondor-FKA n°2,Success,"Site 1S, Vostochny Cosmodrome, Russia",2024-11-29 21:50:00+00:00,Roscosmos,Active,23.0,4550.0,7020.0,2810.0,4.0,4.0,46.94,4.11,10.2,Sun-Synchronous Orbit,1.0,1100.0,2024,Russia,November,Vostochny Cosmodrome
Falcon 9 Block 5,Starlink Group 6-76,Success,"LC-39A, Kennedy Space Center, Florida, USA",2024-11-27 04:41:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Low Earth Orbit,24.0,,2024,USA,November,Florida
ZhuQue-2E,Guangchuan-01 & 02,Success,"Site 96, Jiuquan Satellite Launch Center, China",2024-11-27 02:00:00+00:00,Landspace,Active,,2880.0,6000.0,,2.0,0.0,49.5,3.35,5.0,Low Earth Orbit,2.0,,2024,China,November,Jiuquan Satellite Launch Center
Falcon 9 Block 5,Starlink Group 12-1,Success,"SLC-40, Cape Canaveral SFS, Florida, USA",2024-11-25 10:02:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Low Earth Orbit,23.0,,2024,USA,November,Florida
Electron/Curie,Ice AIS Baby,Success,"Rocket Lab LC-1B, Māhia Peninsula, New Zealand",2024-11-25 03:55:00+00:00,Rocket Lab,Active,7.5,224.0,320.0,,3.0,0.0,18.0,1.2,4.05,Low Earth Orbit,5.0,150.0,2024,New Zealand,November,Māhia Peninsula
Long March 2C,SuperView Neo 2-03 & 04,Success,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2024-11-24 23:39:00+00:00,CASC,Active,30.8,2962.0,2850.0,1000.0,2.0,0.0,42.0,3.35,8.37,Sun-Synchronous Orbit,2.0,,2024,China,November,Jiuquan Satellite Launch Center
Electron,HASTE A La Vista,Success,"Rocket Lab LC-2 (LP-0C), Wallops Flight Facility, Virginia, USA",2024-11-24 06:00:00+00:00,Rocket Lab,Active,7.5,224.0,320.0,,2.0,0.0,18.0,1.2,4.05,Suborbital,1.0,,2024,USA,November,Virginia
Falcon 9 Block 5,Starlink Group 9-13,Success,"SLC-4E, Vandenberg SFB, California, USA",2024-11-24 05:25:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Low Earth Orbit,20.0,,2024,USA,November,California
New Shepard,NS-28,Success,"Launch Site One, West Texas, Texas, USA",2024-11-22 15:30:00+00:00,Blue Origin,Active,,490.0,0.0,0.0,2.0,0.0,18.0,,,Suborbital,,,2024,USA,November,Texas
Falcon 9 Block 5,Starlink Group 6-66,Success,"SLC-40, Cape Canaveral SFS, Florida, USA",2024-11-21 16:07:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Low Earth Orbit,24.0,,2024,USA,November,Florida
Soyuz 2.1a,Progress MS-29,Success,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2024-11-21 12:22:00+00:00,Roscosmos,Active,17.42,4550.0,7500.0,0.0,3.0,4.0,51.38,4.11,15.59,Low Earth Orbit,1.0,7280.0,2024,Kazakhstan,November,Baikonur Cosmodrome
Starship-Super Heavy Block 1,Starship Flight 6,Success,"Orbital Launch Pad A, Starbase, Texas, USA",2024-11-19 22:00:00+00:00,SpaceX,Retired,,74400.0,,,2.0,0.0,121.3,9.0,,Suborbital,,,2024,USA,November,Texas
Falcon 9 Block 5,GSAT-20 (GSAT-N2),Success,"SLC-40, Cape Canaveral SFS, Florida, USA",2024-11-18 18:31:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Geostationary Transfer Orbit,1.0,4700.0,2024,USA,November,Florida
Falcon 9 Block 5,Starlink Group 9-12,Success,"SLC-4E, Vandenberg SFB, California, USA",2024-11-18 05:53:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Low Earth Orbit,20.0,,2024,USA,November,California
Falcon 9 Block 5,Optus-X/TD7,Success,"LC-39A, Kennedy Space Center, Florida, USA",2024-11-17 22:28:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Geostationary Transfer Orbit,1.0,,2024,USA,November,Florida
Long March 7,Tianzhou 8,Success,"LC-201, Wenchang Space Launch Site, China",2024-11-15 15:13:00+00:00,CASC,Active,,7128.0,13500.0,5500.0,2.0,4.0,53.1,4.2,12.4,Low Earth Orbit,1.0,13000.0,2024,China,November,Wenchang Space Launch Site
Falcon 9 Block 5,Starlink Group 6-68,Success,"SLC-40, Cape Canaveral SFS, Florida, USA",2024-11-14 13:21:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Low Earth Orbit,24.0,,2024,USA,November,Florida
Falcon 9 Block 5,Starlink Group 9-11,Success,"SLC-4E, Vandenberg SFB, California, USA",2024-11-14 05:23:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Low Earth Orbit,20.0,,2024,USA,November,California
Long March 4B,Haiyang 4-01,Success,"LC-9, Taiyuan Satellite Launch Center, China",2024-11-13 22:42:00+00:00,CASC,Active,64.68,2993.0,4200.0,1500.0,3.0,0.0,46.97,3.8,11.74,Sun-Synchronous Orbit,1.0,,2024,China,November,Taiyuan Satellite Launch Center
Falcon 9 Block 5,Starlink Group 6-69,Success,"SLC-40, Cape Canaveral SFS, Florida, USA",2024-11-11 21:28:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Low Earth Orbit,24.0,,2024,USA,November,Florida
Falcon 9 Block 5,Koreasat 6A,Success,"LC-39A, Kennedy Space Center, Florida, USA",2024-11-11 17:22:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Geostationary Transfer Orbit,1.0,3500.0,2024,USA,November,Florida
Kinetica 1,15 satellites,Success,"Site 130, Jiuquan Satellite Launch Center, China",2024-11-11 04:03:00+00:00,CAS Space,Active,,,2000.0,1500.0,4.0,0.0,31.0,3.35,,Sun-Synchronous Orbit,15.0,,2024,China,November,Jiuquan Satellite Launch Center
Falcon 9 Block 5,Starlink Group 9-10,Success,"SLC-4E, Vandenberg SFB, California, USA",2024-11-09 06:14:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Low Earth Orbit,20.0,,2024,USA,November,California
Long March 2C,PIESAT-2 01-04,Success,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2024-11-09 03:39:00+00:00,CASC,Active,30.8,2962.0,2850.0,1000.0,2.0,0.0,42.0,3.35,8.37,Sun-Synchronous Orbit,4.0,,2024,China,November,Jiuquan Satellite Launch Center
Falcon 9 Block 5,Starlink Group 6-77,Success,"SLC-40, Cape Canaveral SFS, Florida, USA",2024-11-07 20:19:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Low Earth Orbit,23.0,,2024,USA,November,Florida
Electron/Curie,"Changes In Latitudes, Changes In Attitudes",Success,"Rocket Lab LC-1B, Māhia Peninsula, New Zealand",2024-11-05 10:54:00+00:00,Rocket Lab,Active,7.5,224.0,320.0,,3.0,0.0,18.0,1.2,4.05,Sun-Synchronous Orbit,1.0,,2024,New Zealand,November,Māhia Peninsula
Falcon 9 Block 5,CRS SpX-31,Success,"LC-39A, Kennedy Space Center, Florida, USA",2024-11-05 02:29:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Low Earth Orbit,1.0,,2024,USA,November,Florida
Soyuz 2.1b/Fregat-M,"Ionosfera-M n°1, 2 & Others",Success,"Site 1S, Vostochny Cosmodrome, Russia",2024-11-04 23:18:00+00:00,Roscosmos,Active,25.0,4550.0,7500.0,3250.0,4.0,4.0,46.94,4.11,11.43,Sun-Synchronous Orbit,55.0,400.0,2024,Russia,November,Vostochny Cosmodrome
H3-22S,Kirameki 3,Success,"LA-Y2, Tanegashima Space Center, Japan",2024-11-04 06:48:00+00:00,MHI,Active,50.0,7542.0,,4000.0,2.0,2.0,63.0,5.27,10.4,Geostationary Transfer Orbit,1.0,,2024,Japan,November,Tanegashima Space Center
Soyuz 2.1a,Cosmos 2579,Success,"Site 43/4, Plesetsk Cosmodrome, Russia",2024-10-31 07:51:00+00:00,VKS RF,Active,17.42,4550.0,7500.0,0.0,3.0,4.0,51.38,4.11,15.59,Sun-Synchronous Orbit,1.0,4000.0,2024,Russia,October,Plesetsk Cosmodrome
Falcon 9 Block 5,Starlink Group 10-13,Success,"SLC-40, Cape Canaveral SFS, Florida, USA",2024-10-30 21:10:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Low Earth Orbit,23.0,,2024,USA,October,Florida
Falcon 9 Block 5,Starlink Group 9-9,Success,"SLC-4E, Vandenberg SFB, California, USA",2024-10-30 12:07:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Low Earth Orbit,20.0,,2024,USA,October,California
Long March 2F/G,Shenzhou 19,Success,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",2024-10-29 20:27:00+00:00,CASC,Active,,5985.0,8600.0,0.0,2.0,4.0,58.34,3.6,19.11,Low Earth Orbit,1.0,8100.0,2024,China,October,Jiuquan Satellite Launch Center
Falcon 9 Block 5,Starlink Group 10-8,Success,"SLC-40, Cape Canaveral SFS, Florida, USA",2024-10-26 21:47:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Low Earth Orbit,22.0,,2024,USA,October,Florida
Falcon 9 Block 5,NROL-167,Success,"SLC-4E, Vandenberg SFB, California, USA",2024-10-24 17:14:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Low Earth Orbit,17.0,,2024,USA,October,California
Falcon 9 Block 5,Starlink Group 6-61,Success,"SLC-40, Cape Canaveral SFS, Florida, USA",2024-10-23 21:47:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Low Earth Orbit,23.0,,2024,USA,October,Florida
New Shepard,NS-27,Success,"Launch Site One, West Texas, Texas, USA",2024-10-23 15:27:00+00:00,Blue Origin,Active,,490.0,0.0,0.0,2.0,0.0,18.0,,,Suborbital,,,2024,USA,October,Texas
Long March 2C,Yaogan 43 Group 03,Success,"LC-3, Xichang Satellite Launch Center, China",2024-10-23 01:09:00+00:00,CASC,Active,30.8,2962.0,2850.0,1000.0,2.0,0.0,42.0,3.35,8.37,Low Earth Orbit,,,2024,China,October,Xichang Satellite Launch Center
Long March 6,Tianping-3,Success,"LC-16, Taiyuan Satellite Launch Center, China",2024-10-22 00:10:00+00:00,CASC,Active,19.0,1188.0,1080.0,0.0,3.0,0.0,29.24,2.6,6.145,Sun-Synchronous Orbit,3.0,,2024,China,October,Taiyuan Satellite Launch Center
Falcon 9 Block 5,OneWeb #20,Success,"SLC-4E, Vandenberg SFB, California, USA",2024-10-20 05:13:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Polar Orbit,20.0,2954.0,2024,USA,October,California
Falcon 9 Block 5,Starlink Group 8-19,Success,"SLC-40, Cape Canaveral SFS, Florida, USA",2024-10-18 23:31:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Low Earth Orbit,20.0,,2024,USA,October,Florida
Long March 4C,Gaofen-12 05,Success,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2024-10-15 23:45:00+00:00,CASC,Active,64.68,2993.0,4200.0,1500.0,3.0,0.0,46.97,3.8,11.74,Sun-Synchronous Orbit,1.0,,2024,China,October,Jiuquan Satellite Launch Center
